Noise Type,Intensity,Filter Type,Affected Pixels (Task2),Corrected Pixels (Task4),Corrupted Pixels (Task5)
salt_pepper,0.05,median,12806,2422,150332
salt_pepper,0.05,mean,12806,105,219131
salt_pepper,0.05,alpha_trimmed,12806,1866,200672
salt_pepper,0.05,contraharmonic,12806,798,214378
salt_pepper,0.1,median,24907,4720,145147
salt_pepper,0.1,mean,24907,223,217496
salt_pepper,0.1,alpha_trimmed,24907,3393,192922
salt_pepper,0.1,contraharmonic,24907,1374,209802
salt_pepper,0.2,median,47473,8493,133002
salt_pepper,0.2,mean,47473,527,205237
salt_pepper,0.2,alpha_trimmed,47473,5641,177797
salt_pepper,0.2,contraharmonic,47473,1828,196828
salt,0.05,median,12793,2442,151482
salt,0.05,mean,12793,40,219521
salt,0.05,alpha_trimmed,12793,1910,200227
salt,0.05,contraharmonic,12793,403,221909
salt,0.1,median,24972,4273,147075
salt,0.1,mean,24972,52,217901
salt,0.1,alpha_trimmed,24972,3133,192470
salt,0.1,contraharmonic,24972,548,217598
salt,0.2,median,47547,7068,139759
salt,0.2,mean,47547,36,206513
salt,0.2,alpha_trimmed,47547,3986,180823
salt,0.2,contraharmonic,47547,609,204599
pepper,0.05,median,12782,2375,150799
pepper,0.05,mean,12782,70,219344
pepper,0.05,alpha_trimmed,12782,1620,202163
pepper,0.05,contraharmonic,12782,1910,207201
pepper,0.1,median,24954,4681,146333
pepper,0.1,mean,24954,79,217782
pepper,0.1,alpha_trimmed,24954,2754,195767
pepper,0.1,contraharmonic,24954,3809,196919
pepper,0.2,median,47524,7378,138168
pepper,0.2,mean,47524,99,206338
pepper,0.2,alpha_trimmed,47524,3535,184181
pepper,0.2,contraharmonic,47524,7187,178482
gaussian,0.05,median,260439,3551,1179
gaussian,0.05,mean,260439,5215,1663
gaussian,0.05,alpha_trimmed,260439,4650,1677
gaussian,0.05,contraharmonic,260439,1945,1687
gaussian,0.1,median,260885,2642,887
gaussian,0.1,mean,260885,4202,1239
gaussian,0.1,alpha_trimmed,260885,3589,1243
gaussian,0.1,contraharmonic,260885,1084,1252
gaussian,0.2,median,261208,1941,677
gaussian,0.2,mean,261208,3292,925
gaussian,0.2,alpha_trimmed,261208,2672,923
gaussian,0.2,contraharmonic,261208,632,933
uniform,0.05,median,252036,17862,6808
uniform,0.05,mean,252036,26704,9052
uniform,0.05,alpha_trimmed,252036,23122,9043
uniform,0.05,contraharmonic,252036,26137,9069
uniform,0.1,median,256934,10068,3653
uniform,0.1,mean,256934,17088,4825
uniform,0.1,alpha_trimmed,256934,13819,4894
uniform,0.1,contraharmonic,256934,15617,4869
uniform,0.2,median,259500,5372,1862
uniform,0.2,mean,259500,9648,2538
uniform,0.2,alpha_trimmed,259500,7519,2562
uniform,0.2,contraharmonic,259500,6168,2597
